Stn Id,Stn Name,CIMIS Region,Month Year,Total ETo (mm),qc,Total Precip (mm),qc,Avg Sol Rad (W/sq.m),qc,Avg Vap Pres (kPa),qc,Avg Max Air Temp (C),qc,Avg Min Air Temp (C),qc,Avg Air Temp (C),qc,Avg Max Rel Hum (%),qc,Avg Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Avg Dew Point (C),qc,Avg Wind Speed (m/s),qc,Avg Soil Temp (C),qc
6,Davis,Sacramento Valley,Mar 2010,92.05, ,30.30, ,179, ,0.8, ,16.8, ,4.3,K,10.4, ,87, ,42, ,65, ,3.7, ,2.8, ,12.1, 
6,Davis,Sacramento Valley,Apr 2010,112.89, ,75.50, ,224, ,0.9, ,18.4,K,6.0,K,12.0, ,87,K,44,K,65, ,5.4, ,2.9, ,14.1,K
6,Davis,Sacramento Valley,May 2010,170.95, ,10.90, ,276, ,0.9,K,23.0, ,7.8,K,15.5, ,79, ,30, ,51,K,4.7,K,3.2,K,15.7,K
6,Davis,Sacramento Valley,Jun 2010,214.23, ,0.20, ,322, ,1.2,K,29.9, ,13.0,K,21.2, ,76, ,27, ,48,K,9.4,K,3.2,K,19.6,K
6,Davis,Sacramento Valley,Jul 2010,206.98,K,1.50, ,332,K,1.3,K,31.8, ,12.2,K,21.5, ,80, ,30, ,52,K,11.1,K,2.3,K,21.3,K
6,Davis,Sacramento Valley,Aug 2010,185.49, ,0.00, ,296, ,1.3,K,30.4, ,11.2, ,20.1, ,82, ,29, ,54,K,10.2,K,2.5, ,20.3,K
6,Davis,Sacramento Valley,Sep 2010,148.60, ,0.00, ,238, ,1.1,K,30.8,K,11.9,K,20.8, ,77, ,25, ,48,K,8.7,K,2.2, ,19.6,K
6,Davis,Sacramento Valley,Oct 2010,92.45,K,21.00, ,151, ,1.1, ,24.1,K,10.1,K,16.9, ,80, ,38, ,58, ,7.7, ,2.4,K,17.8, 
6,Davis,Sacramento Valley,Nov 2010,62.00, ,50.80, ,115, ,0.9, ,17.3,K,5.3,K,10.9, ,83, ,45, ,66, ,4.4, ,2.7,K,13.2,K
6,Davis,Sacramento Valley,Dec 2010,18.44, ,131.00,K,53, ,1.0,K,12.4, ,5.9,K,9.1, ,93, ,73, ,85,K,6.7,K,2.1, ,11.1,K
6,Davis,Sacramento Valley,Jan 2011,26.24, ,43.40, ,76, ,0.8, ,10.0,K,1.7, ,5.5, ,95, ,71, ,85, ,3.1, ,1.8, ,8.8, 
6,Davis,Sacramento Valley,Feb 2011,60.90, ,77.10,K,140,K,0.7, ,13.9,K,1.5, ,7.6, ,87, ,45, ,66, ,1.4, ,3.1,K,8.9,K
6,Davis,Sacramento Valley,Mar 2011,65.22, ,139.30,K,147, ,1.0, ,15.7,K,5.9, ,10.8, ,91, ,58, ,76, ,6.6, ,2.8, ,11.6,K
6,Davis,Sacramento Valley,Apr 2011,138.26, ,1.70, ,246, ,0.9,K,20.6, ,6.8,K,13.6, ,80, ,33, ,55,K,4.3,K,3.1,K,13.7,K
6,Davis,Sacramento Valley,May 2011,167.55, ,22.40, ,273, ,0.9,K,22.8,K,8.3,K,15.4, ,79, ,32, ,53,K,5.2,K,3.3, ,17.1,K
6,Davis,Sacramento Valley,Jun 2011,176.00,K,40.00, ,297,K,1.3, ,27.4,K,11.9,K,19.7, ,84, ,37, ,57, ,10.5, ,2.6,K,20.3,K
6,Davis,Sacramento Valley,Jul 2011,203.03, ,0.00, ,323, ,1.4, ,31.2,K,13.4, ,21.9, ,83, ,32, ,55, ,12.3, ,2.3, ,24.0,K
6,Davis,Sacramento Valley,Aug 2011,176.95,K,15.50,K,307,L,1.4,L,31.4,L,11.5,L,21.2,L,87,K,30,K,57,L,12.1,L,1.9,K,22.5,L
6,Davis,Sacramento Valley,Sep 2011,143.90, ,0.40, ,246,K,1.4, ,32.7,K,13.2,K,22.2, ,81, ,30, ,52, ,11.8, ,1.9, ,20.4,K
6,Davis,Sacramento Valley,Oct 2011,91.00, ,27.40,K,160,K,1.2,K,24.6,K,9.5, ,16.5, ,87, ,40, ,64,K,9.3,K,2.0, ,18.5, 
6,Davis,Sacramento Valley,Nov 2011,50.37, ,27.80, ,100, ,0.9,K,15.7, ,4.3,K,9.7, ,90, ,54, ,74,K,4.6,K,2.4,K,13.1, 
6,Davis,Sacramento Valley,Dec 2011,55.33, ,8.50, ,82, ,0.6,K,14.7,K,0.1,K,6.9, ,81, ,40, ,60,K,-1.0,K,2.7,K,9.2, 
6,Davis,Sacramento Valley,Jan 2012,48.00, ,66.00,K,91, ,0.7,K,15.5, ,0.8,K,7.7, ,86, ,44, ,65,K,1.2,K,2.4,K,8.5, 
6,Davis,Sacramento Valley,Feb 2012,73.91, ,12.70,K,141, ,0.8, ,16.4, ,4.0, ,9.9, ,86, ,42, ,63, ,2.6, ,3.0,K,10.0, 
6,Davis,Sacramento Valley,Mar 2012,81.87, ,94.10,K,167,K,0.9,K,16.5,K,5.2, ,10.8, ,87, ,48, ,68,K,4.6,K,3.1,K,11.7, 
6,Davis,Sacramento Valley,Apr 2012,134.96, ,45.30, ,265,K,1.1,K,21.9, ,7.9,K,14.6, ,87, ,40, ,62,K,7.3,K,2.5, ,15.3, 
6,Davis,Sacramento Valley,May 2012,205.57,K,0.00, ,330,L,1.0,K,27.6, ,10.2,K,18.7, ,77, ,28, ,48,K,7.1,K,3.0,K,17.3,K
6,Davis,Sacramento Valley,Jun 2012,225.08, ,0.90, ,352,K,1.1,K,29.8, ,12.0, ,21.0, ,77, ,28, ,46,K,8.7,K,3.3,K,19.2,K
6,Davis,Sacramento Valley,Jul 2012,209.58,K,1.10,K,340, ,1.4, ,31.8,K,12.4, ,21.7, ,85, ,31, ,55, ,12.0, ,2.5,K,21.6,K
6,Davis,Sacramento Valley,Aug 2012,187.64, ,0.00, ,305,K,1.4, ,33.3, ,12.3,K,22.1, ,84, ,28, ,53, ,11.8, ,2.2,K,22.2,K
6,Davis,Sacramento Valley,Sep 2012,143.42, ,0.00, ,255,K,1.2, ,32.1, ,10.3, ,20.3, ,82, ,24, ,50, ,9.5, ,1.8, ,20.3,K
6,Davis,Sacramento Valley,Oct 2012,97.68, ,18.10,K,176, ,1.2, ,24.9,K,9.9, ,16.9, ,84, ,39, ,61, ,8.9, ,2.2, ,18.2, 
6,Davis,Sacramento Valley,Nov 2012,46.21, ,86.20,K,113,K,1.1,K,18.3,K,6.4, ,11.7,K,93,K,55,K,77, ,7.8, ,2.0,K,14.8,K
6,Davis,Sacramento Valley,Dec 2012,29.40,K,127.30,L,71,L,0.9,L,12.2,L,3.9,L,7.9,L,93,L,64,L,81,L,4.8,L,2.7,L,11.3,L
6,Davis,Sacramento Valley,Jan 2013,43.58, ,19.80, ,120,K,0.7,K,13.1, ,0.2, ,5.9, ,90,K,48,K,72,K,1.0,K,1.8, ,7.4, 
6,Davis,Sacramento Valley,Feb 2013,74.11, ,4.10, ,174,K,0.7, ,17.0, ,1.6, ,8.9, ,86, ,37, ,61, ,1.4, ,2.7,K,8.7, 
6,Davis,Sacramento Valley,Mar 2013,111.13, ,25.80,K,214,K,0.9,K,20.9, ,5.6, ,13.1, ,86, ,38, ,60,K,5.2,K,2.7,K,11.9, 
6,Davis,Sacramento Valley,Apr 2013,187.52,K,14.50, ,285,K,0.9, ,25.6,K,10.1,K,17.6,K,75,K,28,K,48, ,5.2, ,3.8,K,15.1, 
6,Davis,Sacramento Valley,May 2013,205.08,K,0.00, ,314,K,1.1,K,27.9, ,11.7,K,19.7, ,77, ,28, ,48,K,7.6,K,3.1,K,18.0, 
6,Davis,Sacramento Valley,Jun 2013,199.66,K,0.00, ,325,L,1.4,K,30.8,K,14.0,K,22.2,K,83,K,32,K,52,K,11.5,K,2.8, ,21.0,K
6,Davis,Sacramento Valley,Jul 2013,213.74, ,0.00, ,337, ,1.5,K,32.9,K,13.9,K,22.8,K,85,K,30,K,54,K,13.0,K,2.5, ,23.1,K
6,Davis,Sacramento Valley,Aug 2013,182.55,K,0.00,K,299,K,1.5,K,32.0, ,13.4,K,22.1,K,88,K,30,K,57, ,13.0, ,2.3,K,22.3,K
6,Davis,Sacramento Valley,Sep 2013,144.41,K,16.25, ,232,K,1.3,K,29.4,K,13.3,K,20.9, ,81, ,33, ,54,K,10.8,K,2.7,K,20.9,K
6,Davis,Sacramento Valley,Oct 2013,122.09, ,0.00, ,186, ,0.8, ,25.4, ,8.6, ,16.4, ,68, ,26, ,45, ,3.8, ,2.6,K,16.7,K
6,Davis,Sacramento Valley,Nov 2013,73.46, ,18.50, ,115, ,0.8,K,20.1, ,6.4,K,12.5, ,76, ,37, ,56,K,3.3,K,2.6,K,13.6, 
6,Davis,Sacramento Valley,Dec 2013,56.15, ,9.70,K,104, ,0.6,K,15.4, ,-0.1, ,6.9, ,80, ,33, ,56,K,-1.7,K,2.2,K,9.1, 
6,Davis,Sacramento Valley,Jan 2014,60.94,K,2.20,K,111,K,0.6,K,19.2,K,2.2, ,10.0,K,75,K,30,K,50,K,-0.4,K,2.0,K,11.1,K
6,Davis,Sacramento Valley,Feb 2014,48.42, ,102.70,K,121,K,1.0, ,17.2,K,7.1,K,11.8, ,92, ,55, ,75, ,7.1, ,2.6, ,12.9, 
6,Davis,Sacramento Valley,Mar 2014,100.74, ,38.80, ,189,K,1.0, ,20.9,K,8.4,K,14.4, ,85, ,43, ,63, ,6.9, ,3.0,K,14.3, 
6,Davis,Sacramento Valley,Apr 2014,141.55,K,46.90,K,264,K,1.1, ,24.2,K,8.9,K,16.3, ,90, ,37, ,61, ,8.4, ,2.5,K,16.0, 
6,Davis,Sacramento Valley,May 2014,207.11, ,0.30, ,325,K,1.1,K,28.9, ,11.8, ,20.2, ,76, ,26, ,45,K,7.4,K,2.9, ,18.0,K
6,Davis,Sacramento Valley,Jun 2014,220.55, ,0.30,K,349,K,1.3, ,32.2,K,12.8, ,22.3,K,82, ,26, ,48,K,10.6,K,2.9,K,20.7, 
6,Davis,Sacramento Valley,Jul 2014,215.58, ,0.00, ,326,K,1.5, ,33.7, ,15.5,K,23.9, ,81, ,28, ,51, ,13.1, ,2.7,K,22.9, 
6,Davis,Sacramento Valley,Aug 2014,179.26, ,0.20, ,283,K,1.5,K,31.9,K,14.3,K,22.5, ,85, ,32, ,56,K,13.1,K,2.5,K,22.8, 
6,Davis,Sacramento Valley,Sep 2014,143.44, ,10.70, ,240,K,1.4,K,31.4, ,13.5, ,21.9,K,85, ,29, ,54,K,11.9,K,2.3, ,21.9, 
6,Davis,Sacramento Valley,Oct 2014,107.73, ,21.00, ,171,K,1.1, ,27.6, ,10.8, ,19.0,K,77, ,31, ,52,K,8.2,K,2.2,K,18.7, 
6,Davis,Sacramento Valley,Nov 2014,46.66, ,33.10, ,101,K,1.1, ,18.7, ,6.9,K,12.4, ,94, ,53, ,75, ,7.8, ,1.7, ,14.5, 
6,Davis,Sacramento Valley,Dec 2014,27.71, ,211.30, ,64, ,1.2,K,14.7, ,8.5,K,11.1,K,96, ,73, ,87,L,8.6,L,2.6,K,13.0,K
6,Davis,Sacramento Valley,Jan 2015,38.90, ,1.50, ,104,K,1.0, ,15.5,K,3.9, ,9.0,K,98, ,63, ,84,K,6.3,K,1.7, ,10.1, 
6,Davis,Sacramento Valley,Feb 2015,59.94, ,67.70,K,146,K,1.1,K,18.9, ,6.8,K,12.5,K,95,K,55,K,76,K,8.1,K,2.3,K,12.3,K
6,Davis,Sacramento Valley,Mar 2015,112.81, ,6.40, ,213,K,1.1,K,23.4, ,7.9,K,15.3,K,90, ,37, ,62,K,7.9,K,2.0, ,13.6, 
6,Davis,Sacramento Valley,Apr 2015,157.47, ,23.00, ,283,K,0.9, ,24.3, ,8.0,K,16.0,K,81, ,30, ,52,K,5.6,K,2.8,K,14.7, 
6,Davis,Sacramento Valley,May 2015,179.28, ,0.40, ,315,K,1.2, ,25.4, ,10.1, ,17.1, ,86, ,37, ,59, ,9.0, ,2.9, ,17.5, 
6,Davis,Sacramento Valley,Jun 2015,207.23,K,0.10,K,337,K,1.4,K,33.2,K,13.8,K,23.1,K,83,K,28,K,51,K,12.2,K,2.4,K,21.0,K
6,Davis,Sacramento Valley,Jul 2015,212.09, ,0.00, ,320,K,1.5,K,33.2,K,15.7,K,23.7,K,81, ,30, ,52,K,12.9,K,2.7,K,23.0,L
6,Davis,Sacramento Valley,Aug 2015,189.36, ,0.20, ,293,K,1.4,K,33.3, ,14.3, ,23.2,K,82, ,25, ,50,K,11.8,K,2.3, ,23.0,L
6,Davis,Sacramento Valley,Sep 2015,144.14, ,1.90, ,227, ,1.1,K,31.6,K,13.3,K,21.8,K,73, ,24, ,45,K,8.6,K,2.3,K,21.0, 
6,Davis,Sacramento Valley,Oct 2015,107.02, ,4.90,K,167, ,1.2, ,28.6,K,12.4,K,19.9,K,79, ,31, ,52,K,9.5,K,2.1, ,19.8,L
6,Davis,Sacramento Valley,Nov 2015,56.57, ,37.60, ,118,K,0.8,K,16.6, ,4.2,K,10.1, ,85, ,45, ,66,K,3.6,K,2.3, ,11.5,L
6,Davis,Sacramento Valley,Dec 2015,32.53, ,36.80, ,78, ,0.9,K,13.1, ,3.3, ,8.2,K,92, ,59, ,78,K,4.3,K,2.5, ,9.9, 
6,Davis,Sacramento Valley,Jan 2016,29.25, ,130.10,K,71, ,1.1,K,13.6, ,6.3,K,9.7,K,95, ,70, ,85,K,7.2,K,2.6,K,10.2,L
6,Davis,Sacramento Valley,Feb 2016,66.28, ,18.20, ,151, ,1.0, ,19.3,K,5.4, ,12.1,K,94, ,50, ,73,K,7.1,K,2.1, ,11.2, 
6,Davis,Sacramento Valley,Mar 2016,85.40, ,121.50, ,177, ,1.1,K,19.5, ,8.0,K,13.5, ,94, ,52, ,73,K,8.6,K,2.7,K,13.4, 
6,Davis,Sacramento Valley,Apr 2016,141.19,K,7.00,K,265,K,1.1,K,24.3, ,9.3,K,16.7,K,84, ,35, ,56,K,7.3,K,2.2,K,16.1, 
6,Davis,Sacramento Valley,May 2016,178.94, ,22.00,K,291, ,1.2, ,27.3, ,12.1,K,19.5, ,83, ,34, ,55, ,9.7, ,2.5, ,19.2, 
6,Davis,Sacramento Valley,Jun 2016,211.24, ,0.20, ,339,K,1.3, ,32.2, ,13.4,K,22.7, ,77, ,26, ,47, ,10.5, ,2.5, ,22.0, 
6,Davis,Sacramento Valley,Jul 2016,219.67, ,0.20,K,346,K,1.4, ,33.3, ,14.0,K,23.2,K,79, ,27, ,48,K,11.5,K,2.5,K,23.6, 
6,Davis,Sacramento Valley,Aug 2016,184.72, ,12.20, ,295, ,1.4, ,32.7, ,12.5, ,21.7, ,83, ,27, ,53, ,11.7, ,2.1, ,22.7, 
6,Davis,Sacramento Valley,Sep 2016,147.25, ,0.80, ,238, ,1.2, ,31.1, ,12.0, ,20.9, ,74, ,25, ,47, ,8.9, ,2.1, ,20.6, 
6,Davis,Sacramento Valley,Oct 2016,79.82,K,49.20,K,141,K,1.2,K,23.5,K,10.2,K,16.6,K,85,L,43,L,64,L,9.2,L,2.3,K,17.3,K
6,Davis,Sacramento Valley,Nov 2016,43.91, ,39.20, ,108, ,1.2, ,18.4, ,7.3,K,12.6,K,96, ,58, ,79,K,8.9,K,1.7, ,14.7, 
6,Davis,Sacramento Valley,Dec 2016,34.89, ,66.10,K,85, ,0.8,K,12.7, ,2.3, ,7.2,K,95, ,58, ,79,K,3.5,K,2.3,K,9.8, 
6,Davis,Sacramento Valley,Jan 2017,32.07, ,278.20, ,82, ,0.9,K,12.3, ,4.3,K,8.0,K,98, ,66, ,85,K,5.5,K,3.0,K,8.9, 
6,Davis,Sacramento Valley,Feb 2017,39.94, ,194.20, ,113,K,1.1,K,15.4, ,7.1,K,11.2,K,97, ,66, ,83,K,8.2,K,3.0,K,11.2, 
6,Davis,Sacramento Valley,Mar 2017,98.49,K,70.10,K,196,K,1.1, ,20.0, ,8.0, ,13.7, ,94, ,50, ,73, ,8.7, ,2.6,K,12.7, 
6,Davis,Sacramento Valley,Apr 2017,124.96, ,64.70, ,234,K,1.1, ,21.2, ,9.4, ,15.2, ,88, ,41, ,63, ,7.6, ,2.8, ,14.3, 
6,Davis,Sacramento Valley,May 2017,197.16,K,0.00, ,320,K,1.2, ,27.8, ,11.3,K,19.4,K,80,K,32,K,52,K,9.0,K,2.9,K,18.1, 
6,Davis,Sacramento Valley,Jun 2017,203.86,K,19.10, ,338,K,1.3,K,31.9,K,14.0,L,23.0,K,81,K,25,K,54,L,11.2,L,2.5, ,21.7, 
6,Davis,Sacramento Valley,Jul 2017,220.37, ,0.20, ,342,K,1.5, ,34.8, ,14.4,K,24.2,K,81, ,26, ,50,K,13.1,K,2.2, ,24.2, 
6,Davis,Sacramento Valley,Aug 2017,185.46, ,0.20,K,286, ,1.6,K,33.9,K,15.4,K,23.7,K,84, ,33, ,56,K,14.2,K,2.2, ,23.9, 
6,Davis,Sacramento Valley,Sep 2017,142.33,K,0.10, ,224, ,1.4,K,30.9,K,14.8,K,22.5,K,73, ,31, ,50,L,11.0,L,2.2,K,22.5, 
6,Davis,Sacramento Valley,Oct 2017,100.87,K,3.80, ,178, ,0.9, ,26.5, ,8.8, ,17.2, ,71, ,26, ,45, ,4.6, ,1.3, ,16.9, 
6,Davis,Sacramento Valley,Nov 2017,34.27,K,31.00, ,96, ,1.2,K,17.7, ,7.6,K,12.4,K,94, ,60, ,80,K,8.9,K,1.1, ,14.5, 
6,Davis,Sacramento Valley,Dec 2017,42.57,K,0.70, ,101,K,0.7, ,15.9, ,1.2, ,8.1, ,87, ,41, ,64, ,1.3, ,1.1, ,9.6, 
6,Davis,Sacramento Valley,Jan 2018,23.11,K,97.20, ,73, ,1.1,K,14.2, ,5.8, ,9.8,K,98, ,73, ,89,K,7.9,K,1.0,K,10.4, 
6,Davis,Sacramento Valley,Feb 2018,74.43,K,4.40,K,167,K,0.7,K,18.3,K,3.4,K,10.5,K,85, ,35, ,57,K,1.9,K,2.4,K,10.2, 
6,Davis,Sacramento Valley,Mar 2018,82.57, ,103.50, ,176,K,1.0,K,18.1, ,5.6, ,11.7,K,94, ,50, ,73,K,6.9,K,2.5,K,11.3, 
6,Davis,Sacramento Valley,Apr 2018,127.09, ,13.20, ,251, ,1.1,K,22.3, ,8.0, ,15.0, ,91, ,40, ,64,K,8.1,K,2.4, ,14.9, 
6,Davis,Sacramento Valley,May 2018,185.36, ,5.80,K,314, ,1.3, ,26.8, ,11.2, ,18.4, ,86, ,38, ,59, ,10.1, ,2.8,K,18.5, 
6,Davis,Sacramento Valley,Jun 2018,202.56,K,0.30,K,315,K,1.3, ,31.7, ,13.2,K,22.1,K,80,K,28,K,50,K,11.0,K,2.6,K,21.2, 
6,Davis,Sacramento Valley,Jul 2018,202.14, ,0.80, ,303, ,1.6, ,34.6, ,15.3,K,24.0, ,79, ,29, ,52, ,13.5, ,2.2, ,23.5, 
6,Davis,Sacramento Valley,Aug 2018,174.16, ,1.10, ,279, ,1.5, ,31.7,K,13.2, ,21.7, ,86, ,32, ,57, ,12.6, ,2.1, ,23.0, 
6,Davis,Sacramento Valley,Sep 2018,142.91, ,0.50, ,240, ,1.2, ,30.9, ,11.3, ,20.5, ,81, ,25, ,50, ,9.6, ,2.0, ,21.1, 
6,Davis,Sacramento Valley,Oct 2018,120.89, ,0.70, ,173, ,1.0,K,27.1, ,10.4,K,18.3, ,72, ,27, ,48,K,6.2,K,2.6,K,18.2, 
6,Davis,Sacramento Valley,Nov 2018,66.74,K,74.10, ,101, ,0.8,K,19.8,K,5.7,K,12.3,K,75, ,37, ,57,L,2.3,L,2.4,K,13.1, 
6,Davis,Sacramento Valley,Dec 2018,38.13, ,50.20, ,85, ,1.0, ,14.0, ,4.8, ,9.3, ,95, ,62, ,80, ,5.9, ,2.4,K,11.0, 
6,Davis,Sacramento Valley,Jan 2019,35.18, ,177.40, ,89, ,1.1, ,14.9, ,5.7,K,9.8,K,98, ,65, ,86,K,7.4,K,2.2,K,10.0, 
6,Davis,Sacramento Valley,Feb 2019,41.52,K,219.30,K,117,K,0.9,K,12.8,K,4.7, ,8.4,K,95,K,58,K,78,K,4.7,K,3.1,K,9.3,K
6,Davis,Sacramento Valley,Mar 2019,81.17,K,128.80, ,173,K,0.9,K,17.7, ,6.6, ,11.9, ,90,K,43,K,71,L,6.1,L,2.5, ,11.0, 
6,Davis,Sacramento Valley,Apr 2019,150.61,K,4.90,K,248,K,0.8,K,23.9, ,10.3,K,16.8,K,64,K,24,K,55,L,8.0,L,2.8, ,14.5, 
6,Davis,Sacramento Valley,May 2019,158.76, ,73.40,K,290,K,1.2, ,24.0,K,10.1, ,16.7, ,92, ,43, ,65, ,9.7, ,2.8, ,17.8,L
6,Davis,Sacramento Valley,Jun 2019,225.00, ,0.60,K,351,K,1.4,K,32.0, ,14.4,K,23.1,K,82, ,28, ,49,K,11.3,K,2.8,K,23.7,L
6,Davis,Sacramento Valley,Jul 2019,209.65, ,0.20,K,340, ,1.6, ,32.5, ,13.6, ,22.8, ,92, ,31, ,56, ,13.5, ,2.3, ,24.3, 
6,Davis,Sacramento Valley,Aug 2019,191.09, ,0.30,K,306, ,1.6,K,33.6, ,14.4,K,23.7,K,92, ,30, ,55,K,13.9,K,2.1, ,22.7, 
6,Davis,Sacramento Valley,Sep 2019,148.71, ,29.80, ,234, ,1.3, ,29.9, ,12.8,K,21.3,K,85,K,29,K,52,K,10.7,K,2.6,K,20.8, 
6,Davis,Sacramento Valley,Oct 2019,136.97,K,0.20, ,185,K,0.7,K,25.7, ,8.0, ,16.7,K,66, ,19, ,37,K,1.0,K,3.0,K,15.5, 
6,Davis,Sacramento Valley,Nov 2019,63.77, ,20.50, ,123, ,0.8, ,20.7, ,4.2,K,11.8, ,85, ,36, ,59, ,3.6, ,1.9,K,12.0, 
6,Davis,Sacramento Valley,Dec 2019,24.85, ,146.70, ,68, ,1.1,K,13.5, ,6.3,K,9.5, ,98, ,73, ,88,K,7.5,K,2.3,K,10.5, 
6,Davis,Sacramento Valley,Jan 2020,33.61, ,29.80, ,91, ,1.0, ,13.7, ,4.7, ,8.9,K,99, ,68, ,87,K,6.8,K,2.0, ,9.5, 
6,Davis,Sacramento Valley,Feb 2020,92.66,K,0.50, ,166, ,0.8,K,19.4,K,5.0, ,12.0,K,81, ,34, ,55,K,2.5,K,2.9,K,10.3, 
6,Davis,Sacramento Valley,Mar 2020,92.71, ,27.70, ,181, ,0.9, ,17.9,K,5.9, ,11.7,K,90, ,45, ,67,K,5.3,K,2.6,K,11.7, 
6,Davis,Sacramento Valley,Apr 2020,136.55, ,30.20,K,251, ,1.1, ,23.3, ,9.2,K,16.0, ,87, ,39, ,60, ,7.7, ,2.5, ,14.7, 
6,Davis,Sacramento Valley,May 2020,187.24, ,7.60,K,295, ,1.2, ,27.8, ,12.1,K,19.7,K,82, ,30, ,52,K,8.9,K,2.8, ,18.3, 
6,Davis,Sacramento Valley,Jun 2020,215.58, ,2.10, ,339,K,1.3,K,31.5, ,14.6, ,22.6, ,75, ,27, ,47,K,10.5,K,2.8,K,21.2, 
6,Davis,Sacramento Valley,Jul 2020,213.36, ,0.00, ,335, ,1.4, ,33.4, ,13.7, ,22.7, ,82, ,28, ,52, ,12.2, ,2.3, ,22.3, 
6,Davis,Sacramento Valley,Aug 2020,177.02,K,0.00, ,262, ,1.5,K,34.4,K,15.8,L,24.5,K,77,K,27,K,52,L,13.1,L,2.1,K,22.9, 
6,Davis,Sacramento Valley,Sep 2020,141.30,K,0.00, ,208, ,1.3,K,32.5,K,14.4,K,22.8,K,80,K,26,K,50,K,11.1,K,2.2,K,21.3, 
6,Davis,Sacramento Valley,Oct 2020,124.40,K,0.00, ,172, ,0.9,K,28.9, ,10.8,L,19.3,K,74,K,21,K,43,L,5.4,L,2.3,K,18.3, 
6,Davis,Sacramento Valley,Nov 2020,62.60, ,14.80, ,117,K,0.8,K,18.5,K,3.8,K,10.9, ,84, ,36, ,59,K,2.9,K,2.2,K,12.2, 
6,Davis,Sacramento Valley,Dec 2020,45.59,K,42.90,K,89,K,0.8,K,15.0,K,3.4, ,9.0,K,91,K,48,K,69,K,3.1,K,2.4,K,9.0,K
6,Davis,Sacramento Valley,Jan 2021,47.50,K,24.60, ,90, ,0.9, ,15.0,K,4.8,K,9.5,K,92, ,56, ,78,L,5.1,L,2.6,K,9.1, 
6,Davis,Sacramento Valley,Feb 2021,75.14, ,18.60, ,151,K,0.8,K,17.7,K,5.8, ,11.7,K,83, ,39, ,60,K,3.4,K,2.9,K,10.7, 
6,Davis,Sacramento Valley,Mar 2021,114.32, ,28.90, ,207,K,0.8,K,18.7, ,5.3, ,11.8, ,83, ,34, ,56,K,2.5,K,2.9,K,11.7, 
6,Davis,Sacramento Valley,Apr 2021,156.84, ,1.30,K,282,K,0.9, ,25.0, ,7.1, ,15.8, ,87, ,26, ,50, ,4.9, ,2.5, ,15.7, 
6,Davis,Sacramento Valley,May 2021,220.20, ,2.40, ,329,K,1.0,K,28.9,K,11.4,K,20.1, ,78, ,24, ,43,K,6.5,K,3.2,K,18.6, 
6,Davis,Sacramento Valley,Jun 2021,218.42, ,0.00, ,346, ,1.3, ,32.1,K,12.8, ,22.3, ,86, ,27, ,48, ,10.6, ,2.6, ,21.6, 
6,Davis,Sacramento Valley,Jul 2021,215.33, ,0.00, ,326, ,1.4, ,34.3,K,13.4, ,23.3,K,90, ,26, ,50,K,12.3,K,2.4, ,22.6, 
6,Davis,Sacramento Valley,Aug 2021,179.90,K,0.00,K,276,K,1.4,K,33.2,K,13.2, ,22.7,K,91,K,26,K,51, ,11.9, ,2.1,K,20.9,K
6,Davis,Sacramento Valley,Sep 2021,152.83, ,0.00, ,243, ,1.2, ,32.1,K,12.0, ,21.8,K,86, ,24, ,47,K,9.4,K,2.2, ,19.8, 
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
